date,vendor,category,price
2025-08-13,Marriott,hotels,276.4
2025-08-13,Uber,rideshare,21.98
2025-08-14,Target,online_shopping,76.06
2025-08-15,Spotify,subscriptions,15.99
2025-08-16,Apple Music,subscriptions,9.99
2025-08-17,Apple Music,subscriptions,15.99
2025-08-18,Victrola Coffee,dining,15.99
2025-08-19,Costco,groceries,58.87
2025-08-20,Uber,rideshare,15.78
2025-08-20,Netflix,subscriptions,9.99
2025-08-20,Seattle City Light,utilities,84.64
2025-08-21,Lyft,rideshare,10.1
2025-08-22,Ba Bar,dining,25.5
2025-08-22,Pagliacci Pizza,dining,29.91
2025-08-23,Whole Foods,groceries,53.78
2025-08-23,Amazon,online_shopping,80.27
2025-08-24,Home Depot,home_improvement,79.58
2025-08-25,Apple Music,subscriptions,9.99
2025-08-25,Puget Sound Energy,utilities,36.55
2025-08-26,Ba Bar,dining,18.3
2025-08-27,Victrola Coffee,dining,29.36
2025-08-27,Spotify,subscriptions,10.99
2025-08-28,Costco,groceries,82.07
2025-08-29,Walmart,online_shopping,87.56
2025-08-30,Spotify,subscriptions,12.99
2025-08-31,Spotify,subscriptions,9.99
2025-09-01,Marination,dining,24.96
2025-09-02,Spotify,subscriptions,12.99
2025-09-03,Target,online_shopping,74.02
2025-09-04,Lowes,home_improvement,75.28
2025-09-04,Spotify,subscriptions,9.99
2025-09-05,QFC,groceries,53.75
2025-09-05,Verizon,utilities,96.83
2025-09-06,Kroger,groceries,53.84
2025-09-07,Target,online_shopping,66.39
2025-09-08,Netflix,subscriptions,10.99
2025-09-09,Kroger,groceries,81.27
2025-09-09,Trader Joe's,groceries,74.16
2025-09-10,Spotify,subscriptions,12.99
2025-09-11,Costco,groceries,100.36
2025-09-12,United Airlines,airfare,412.0
2025-09-12,Walmart,online_shopping,19.1
2025-09-12,Comcast,utilities,88.84
2025-09-13,Hilton,hotels,214.35
2025-09-13,Target,online_shopping,75.25
2025-09-14,Target,online_shopping,46.26
2025-09-15,Kizuki Ramen,dining,30.16
2025-09-16,Safeway,groceries,46.63
2025-09-17,Lowes,home_improvement,73.77
2025-09-18,Lowes,home_improvement,37.35
2025-09-18,Apple Music,subscriptions,9.99
2025-09-19,Cafe Umbria,dining,14.53
2025-09-20,Whole Foods,groceries,87.04
2025-09-20,Amazon,online_shopping,50.63
2025-09-20,Seattle City Light,utilities,90.91
2025-09-21,Amazon,online_shopping,33.23
2025-09-22,Netflix,subscriptions,10.99
2025-09-23,QFC,groceries,82.92
2025-09-23,Amazon,online_shopping,85.45
2025-09-24,Din Tai Fung,dining,19.41
2025-09-25,Ba Bar,dining,23.68
2025-09-25,Puget Sound Energy,utilities,25.66
2025-09-26,Walmart,online_shopping,64.08
2025-09-27,Home Depot,home_improvement,33.18
2025-09-28,Spotify,subscriptions,12.99
2025-09-29,Ba Bar,dining,14.97
2025-09-29,Kroger,groceries,76.55
2025-09-30,Netflix,subscriptions,10.99
2025-10-01,Spotify,subscriptions,15.99
2025-10-02,Cafe Umbria,dining,21.47
2025-10-03,Uber,rideshare,11.73
2025-10-04,Victrola Coffee,dining,19.15
2025-10-05,Netflix,subscriptions,9.99
2025-10-05,Verizon,utilities,74.47
2025-10-06,Amazon,online_shopping,15.88
2025-10-07,Cafe Umbria,dining,19.29
2025-10-07,Uber,rideshare,16.73
2025-10-08,Sweetgreen,dining,22.99
2025-10-09,Target,online_shopping,59.12
2025-10-10,Marination,dining,21.79
2025-10-10,Cafe Umbria,dining,16.74
2025-10-11,Evergreens,dining,17.99
2025-10-11,Target,online_shopping,30.89
2025-10-12,Southwest Airlines,airfare,334.0
2025-10-12,Milstead Coffee,dining,19.34
2025-10-12,Netflix,subscriptions,15.99
2025-10-12,Comcast,utilities,98.39
2025-10-13,Costco,groceries,89.59
2025-10-13,Hyatt,hotels,193.75
2025-10-13,Apple Music,subscriptions,9.99
2025-10-14,Netflix,subscriptions,12.99
2025-10-15,Whole Foods,groceries,54.97
2025-10-15,Spotify,subscriptions,12.99
2025-10-16,Marination,dining,28.02
2025-10-16,Amazon,online_shopping,41.31
2025-10-17,Evergreens,dining,24.68
2025-10-17,Target,online_shopping,44.37
2025-10-18,Sweetgreen,dining,15.14
2025-10-19,Lowes,home_improvement,78.85
2025-10-20,Evergreens,dining,20.5
2025-10-20,Seattle City Light,utilities,115.52
2025-10-21,Spotify,subscriptions,9.99
2025-10-22,Costco,groceries,61.88
2025-10-22,Home Depot,home_improvement,25.53
2025-10-23,Lyft,rideshare,20.03
2025-10-24,Kroger,groceries,49.86
2025-10-25,Lyft,rideshare,16.87
2025-10-25,Puget Sound Energy,utilities,42.07
2025-10-26,T-Mobile,utilities,76.6
2025-10-27,Milstead Coffee,dining,17.87
2025-10-27,Pagliacci Pizza,dining,23.44
2025-10-28,Walmart,online_shopping,52.9
2025-10-28,Amazon,online_shopping,61.3
2025-10-29,Safeway,groceries,54.58
2025-10-30,Sweetgreen,dining,28.47
2025-10-31,Lyft,rideshare,10.54
